Date,close,high,low,open,volume,symbol
2022-09-19,3212.10400390625,3237.1422857556304,3129.8218845573406,3216.365728424955,1013563,ASIANPAINT
2022-09-20,3286.637451171875,3302.9098991426945,3229.296657988781,3230.8465050235095,708184,ASIANPAINT
2022-09-21,3250.654296875,3317.341941252631,3242.8570574320615,3298.0669894134317,605378,ASIANPAINT
2022-09-22,3328.09326171875,3331.967642698632,3211.522729397167,3250.6541191780457,829396,ASIANPAINT
2022-09-23,3288.623291015625,3329.9822642721033,3276.467372341137,3327.124955346049,513370,ASIANPAINT
2022-09-26,3330.078857421875,3359.0882370881986,3248.6683815437773,3264.165905128959,1429914,ASIANPAINT
2022-09-27,3361.655029296875,3390.0833946384378,3323.298799058751,3346.3514134369825,1455383,ASIANPAINT
2022-09-28,3458.514892578125,3470.3801856179925,3312.596097660902,3342.622553516893,1843428,ASIANPAINT
2022-09-29,3278.50146484375,3451.5409230330033,3266.4907410707533,3451.5409230330033,2624894,ASIANPAINT
2022-09-30,3237.48095703125,3304.749845921229,3182.0773592609567,3295.16084809551,2159720,ASIANPAINT
2022-10-03,3199.173095703125,3247.2155137774735,3182.561782071389,3242.85683523549,934543,ASIANPAINT
2022-10-04,3232.928466796875,3262.567573021024,3208.035618698951,3225.4218543730335,994382,ASIANPAINT
2022-10-06,3224.405029296875,3261.017976122996,3207.696761653563,3232.9287145777175,922770,ASIANPAINT
2022-10-07,3238.69189453125,3254.0927009112474,3184.014739889141,3213.799043867114,774544,ASIANPAINT
2022-10-10,3175.007080078125,3195.3960594892947,3157.8145126164895,3176.99274784022,734377,ASIANPAINT
2022-10-11,3195.10546875,3254.4804116500973,3171.1812106376246,3187.1630340876923,1411316,ASIANPAINT
2022-10-12,3146.19140625,3234.624210058651,3105.3167292852327,3230.265530931457,1812549,ASIANPAINT
2022-10-13,3108.22216796875,3155.8770071383983,3093.5962850539327,3128.659622403609,779890,ASIANPAINT
2022-10-14,3085.46044921875,3144.0604671681253,3080.133174859716,3133.405918450057,845765,ASIANPAINT
2022-10-17,3097.180419921875,3116.9396694145466,3070.5440492230246,3085.460322224996,1067773,ASIANPAINT
2022-10-18,3124.543212890625,3147.9346945701236,3111.1280735259193,3116.939645269741,1015424,ASIANPAINT
2022-10-19,3111.8544921875,3143.7696594341137,3095.969624152379,3140.185904185472,943543,ASIANPAINT
2022-10-20,3042.260986328125,3140.0408743571106,3004.3890506981584,3097.5678744226834,2284352,ASIANPAINT
2022-10-21,2995.283935546875,3065.361898322895,2976.1541788546,3041.389165252829,1738731,ASIANPAINT
2022-10-24,3023.615478515625,3059.792608216402,3018.143009560718,3051.0752503582357,178709,ASIANPAINT
2022-10-25,2988.019775390625,3036.5464982292306,2983.176798519446,3035.5779028549946,1016316,ASIANPAINT
2022-10-27,2947.87158203125,3024.9233923294064,2937.749807536052,3024.9233923294064,2005709,ASIANPAINT
2022-10-28,2957.5087890625,2975.137412669272,2944.529706655443,2962.6423914378747,715736,ASIANPAINT
2022-10-31,3014.447265625,3019.588276002014,2969.1971858968195,2989.518492334792,814364,ASIANPAINT
2022-11-01,3064.595947265625,3069.4459125153426,3017.1633818492714,3017.1633818492714,939335,ASIANPAINT
2022-11-02,3037.921142578125,3065.1294950294728,3028.415400127348,3063.2380559424187,787012,ASIANPAINT
2022-11-03,3047.0390625,3054.2654629971094,3011.828269188098,3011.828269188098,563798,ASIANPAINT
2022-11-04,3085.887451171875,3089.4278310404343,3032.101147675779,3053.5380885762283,609757,ASIANPAINT
2022-11-07,3010.421875,3102.037668084393,3004.5048228709566,3090.3977518814495,1669943,ASIANPAINT
2022-11-09,2993.8837890625,3051.598380168678,2987.578833731573,3051.598380168678,1391333,ASIANPAINT
2022-11-10,2953.774169921875,2993.3984797802987,2942.4738458890265,2993.3984797802987,1375007,ASIANPAINT
2022-11-11,2963.716796875,3005.0385972964427,2956.5389427241953,2997.9576003659504,810288,ASIANPAINT
2022-11-14,2961.582763671875,2985.590091908843,2949.7974427177933,2964.29879160304,811702,ASIANPAINT
2022-11-15,2986.899658203125,3002.1285017862388,2950.7188699301255,2976.423685858182,873840,ASIANPAINT
2022-11-16,2990.537353515625,3000.1887377532757,2959.449026474376,2986.899879294295,770953,ASIANPAINT
2022-11-17,2979.4306640625,3003.6319426225145,2968.178650270235,2999.218427005087,706271,ASIANPAINT
2022-11-18,3002.61328125,3021.382740211764,2964.0560601452717,3002.128284758117,1258576,ASIANPAINT
2022-11-21,3002.419677734375,3017.018121193688,2974.1927839118534,3011.828563403642,612194,ASIANPAINT
2022-11-22,3010.712890625,3025.8931864643287,2980.1095638798038,3010.858294850225,764079,ASIANPAINT
2022-11-23,3007.754150390625,3021.334051526586,2997.2781792942333,3017.6480309981744,488341,ASIANPAINT
2022-11-24,3021.8193359375,3026.620754076579,2999.2184509589883,3024.3897227430025,571872,ASIANPAINT
2022-11-25,3014.8837890625,3026.184350129217,2982.971112597598,3021.81938142531,898769,ASIANPAINT
2022-11-28,3056.64208984375,3064.2080830908676,3003.777467960733,3014.8838411585343,914689,ASIANPAINT
2022-11-29,3040.9765625,3073.9077770591684,3033.3134758107517,3062.267861210412,877720,ASIANPAINT
2022-11-30,3079.873291015625,3103.929165651731,3039.279224580983,3045.6810365245337,2547283,ASIANPAINT
2022-12-01,3083.94775390625,3101.068037932158,3066.390783519873,3095.2480791496764,761717,ASIANPAINT
2022-12-02,3049.124755859375,3079.049137651833,3039.958368448281,3077.9335035005515,932259,ASIANPAINT
2022-12-05,3062.171142578125,3073.617108595505,3019.1035433839347,3036.0784227443264,926122,ASIANPAINT
2022-12-06,3066.82666015625,3073.9076560484245,3031.2279662831575,3031.2279662831575,958365,ASIANPAINT
2022-12-07,3129.6826171875,3137.6365129396786,3081.085870014352,3084.5779397663878,1832282,ASIANPAINT
2022-12-08,3124.783935546875,3143.650252233539,3106.548019591002,3133.0774231475584,851312,ASIANPAINT
2022-12-09,3130.119140625,3145.0571762340323,3109.7978328419554,3137.927632328049,847879,ASIANPAINT
2022-12-12,3071.337890625,3133.0778596030495,3047.621368768479,3130.1678801668854,1323816,ASIANPAINT
2022-12-13,3083.122802734375,3089.4277573411937,3048.3484583693476,3089.4277573411937,886601,ASIANPAINT
2022-12-14,3051.5498046875,3099.128014526986,3031.228496211841,3083.6081246263816,1103870,ASIANPAINT
